CNTR_BN_CODE,CNTR_CODE
1,AQ
2,AQ
3,AQ
4,AQ
5,AQ
6,AQ
7,AQ
8,AQ
9,AQ
10,AQ
11,AQ
12,AQ
13,AQ
14,AQ
15,AQ
16,AQ
17,AQ
18,AQ
19,AQ
20,AQ
21,AQ
22,AQ
23,AQ
24,AQ
25,AQ
26,AQ
27,AQ
28,AQ
29,AQ
30,AQ
31,AQ
32,AQ
33,AQ
34,AQ
35,AQ
36,AQ
37,AQ
38,AQ
39,AQ
40,AQ
41,AQ
42,AQ
43,AQ
44,AQ
45,AQ
46,AQ
47,AQ
48,AQ
49,AQ
50,AQ
51,AQ
52,AQ
53,AQ
54,AQ
55,AQ
56,AQ
57,AQ
58,AQ
59,AQ
60,AQ
61,AQ
62,AQ
63,AQ
64,AQ
65,AQ
66,AQ
67,AQ
68,AQ
69,AQ
70,AQ
71,AQ
72,AQ
73,AQ
74,AQ
75,AQ
76,AQ
77,AQ
78,AQ
79,AQ
80,AQ
81,AQ
82,AQ
83,AQ
84,AQ
85,AQ
86,AQ
87,AQ
88,AQ
89,AQ
90,AQ
91,AQ
92,AQ
93,AQ
94,AQ
95,AQ
96,AQ
97,AQ
98,AQ
99,AQ
100,AQ
101,AQ
102,AQ
103,AQ
104,AQ
105,AQ
106,AQ
107,AQ
108,AQ
109,AQ
110,AQ
111,AQ
112,AQ
113,AQ
114,AQ
115,AQ
116,AQ
117,AQ
118,AQ
119,AQ
120,AQ
121,AQ
122,AQ
123,AQ
124,AQ
125,AQ
126,AQ
127,AQ
128,AQ
129,AQ
130,AQ
131,AQ
132,AQ
133,AQ
134,AQ
135,AQ
136,AQ
137,AQ
138,AQ
139,AQ
140,AQ
141,AQ
142,AQ
143,AQ
144,AQ
145,AQ
146,AQ
147,AQ
148,AQ
149,AQ
150,AQ
151,AQ
152,AQ
153,AQ
154,AQ
155,AQ
156,AQ
157,AQ
158,AQ
159,AQ
160,AQ
161,AQ
162,AQ
163,AQ
164,AQ
165,AQ
166,AQ
167,AQ
168,AQ
169,AQ
170,CL
171,FK
172,FK
173,AQ
174,AQ
175,AQ
176,AQ
177,AQ
178,AQ
179,AQ
180,AQ
181,AQ
182,AQ
183,AQ
184,AQ
185,AQ
186,AQ
187,AQ
188,AQ
189,AQ
190,AQ
191,AQ
192,AQ
193,AQ
194,AQ
195,AQ
196,AQ
197,AQ
198,AQ
199,AQ
200,AQ
201,AQ
202,AQ
203,AQ
204,AQ
205,AQ
206,AQ
207,AQ
208,AQ
209,AQ
210,AQ
211,AQ
212,AQ
213,AQ
214,AQ
215,AQ
216,FK
217,CL
218,FK
219,FK
220,FK
221,CL
222,CL
223,NZ
224,CL
225,NZ
226,CL
227,CL
228,CL
229,CL
230,NZ
231,TF
232,CL
233,TF
234,CL
235,TF
236,CL
237,TF
238,CL
239,TF
240,CL
241,TF
242,TF
243,TF
244,TF
245,CL
246,CL
247,CL
248,NZ
249,CL
250,CL
251,AR
252,CL
253,AR
254,CL
255,GS
256,CL
257,CL
258,BV
259,CL
260,CL
261,CL
262,CL
263,CL
264,CL
265,CL
266,CL
267,CL
268,CL
269,CL
270,CL
271,CL
272,CL
273,CL
274,CL
275,CL
276,CL
277,CL
278,GS
279,CL
280,CL
281,CL
282,CL
283,CL
284,CL
285,CL
286,CL
287,HM
288,HM
289,CL
290,FK
291,CL
292,CL
293,CL
294,AR
295,AR
296,CL
297,CL
298,CL
299,CL
300,NZ
301,CL
302,CL
303,FK
304,CL
305,FK
306,CL
307,CL
308,FK
309,FK
310,FK
311,CL
312,CL
313,FK
314,FK
315,FK
316,FK
317,FK
318,FK
319,CL
320,FK
321,CL
322,FK
323,CL
324,CL
325,CL
326,CL
327,CL
328,FK
329,FK
330,CL
331,FK
332,FK
333,CL
334,FK
335,CL
336,CL
337,NZ
338,CL
339,CL
340,CL
341,ZA
342,NZ
343,NZ
344,CL
345,CL
346,NZ
347,ZA
348,NZ
349,TF
350,TF
351,CL
352,TF
353,NZ
354,CL
355,NZ
356,CL
357,CL
358,CL
359,CL
360,CL
361,CL
362,CL
363,CL
364,CL
365,CL
366,CL
367,CL
368,CL
369,CL
370,CL
371,CL
372,CL
373,CL
374,CL
375,CL
376,CL
377,CL
378,CL
379,NZ
380,CL
381,CL
382,CL
